model,Validation Calibration,SIF,test_n,rmse,mae,bias,r2,pearson_r
Spatial Aggregate 4km (SA4km),calibrated,target_modis_sif,931,0.07014592125,0.05274860364,-0.01494527342,0.7613432339,-
(SA4km) OCO-2 Native Inference,calibrated,target_modis_sif,2000,0.1700951309,0.1300168283,-0.003410517517,0.3732114646,0.6124195257
"(SA4km) OCO-2 Native Inference SIF [0,0.75)",calibrated,target_modis_sif,1829,0.1433528595,0.1134836317,-0.005367350685,0.3494411107,0.6127136283
multisif_sen2,calibrated,target_modis_sif,6411,0.160338601969332,0.122287182442281,-0.016594581426985,0.417640338428269,-
modis_24x24,calibrated,target_modis_sif,2187,0.1678576565,0.1293095854,0.0009612877054,0.3487023314,-
modis_16x16_modis_sif,calibrated,target_modis_sif,22149,0.1656389563,0.1254622638,0.001079568407,0.4573999643,-
modis_16x16_740,uncalibrated,740nm,26905,0.2693401018,0.2106600702,0.05884131044,0.3502802253,-
MLP_area_to_point,uncalibrated,740nm,5291,0.2502903644,0.1911635123,-0.005340138083,0.415412881,0.6456649082
PolyMeans:XGBoost ,uncalibrated,target_modis_sif,5889,0.164984,0.127414,0.012545,0.452763,0.67534
PolyMeans:Random Forest,uncalibrated,target_modis_sif,5889,0.16893,0.131143,0.014588,0.426271,0.656486
