hzs_values,month,n,rmse,mae,bias,r2,observed_mean,predicted_mean
7a,2,29.0,0.0447297229837899,0.03296589278305585,0.018730320401705514,-0.08847112265705381,0.050523689080928934,0.06925400948263445
7a,3,52.0,0.05052455699547242,0.03808627307217689,-0.0182418752227929,0.38832333418655807,0.12608137182318246,0.10783949660038958
7a,4,22.0,0.06807239274176477,0.05314525500463075,0.02766148131286683,0.04027796297162167,0.2829406037926674,0.3106020851055343
7a,5,20.0,0.09419968441822446,0.07071971303369289,-0.02859494296341855,0.21602189172637942,0.4224484883248806,0.39385354536146205
7a,6,11.0,0.12067839761770165,0.09648590117817024,-0.05820759817293544,-0.1628338215488132,0.5740620412609794,0.5158544430880441
7a,7,17.0,0.08284947941044407,0.07274921461719136,-0.06484171688348533,0.3843111144262781,0.49336157826816335,0.42851986138467807
7b,2,50.0,0.03411379605964674,0.029428385257820447,0.019055353948790793,-0.15556053752678833,0.057399161756038666,0.07645451570482945
7b,3,157.0,0.043731800030132606,0.03376241049507703,-0.00901969093779386,0.5027660428429278,0.11385567125621116,0.1048359803184173
7b,4,234.0,0.07475034246462642,0.0565634720381681,-0.02888869340787118,0.36357661164479893,0.295096076770216,0.2662073833623448
7b,5,164.0,0.08335556111545284,0.06430633706145905,-0.028010791527722897,0.2020300860866534,0.4374687044722278,0.40945791294450495
7b,6,144.0,0.0770379438820707,0.05755284062009098,-0.013212919863671966,0.3260972325538616,0.49143189067641896,0.47821897081274695
7b,7,145.0,0.06409411623750486,0.050879177220829276,0.0005511474945152807,0.32372338887659624,0.36494607976798354,0.3654972272624988
8a,2,209.0,0.04669631522238684,0.03675963695296262,0.00567097425726168,0.2222350377175708,0.06888559261007172,0.07455656686733339
8a,3,908.0,0.05275372234216952,0.04005975466830114,-0.004850046178164419,0.3560189929039912,0.12097716359380584,0.11612711741564141
8a,4,861.0,0.0620994560346396,0.04803564994696442,-0.0007022004914974786,0.5624061015752492,0.2607998462538824,0.260097645762385
8a,5,857.0,0.09062439298560418,0.07178124930453118,-0.008644766774649306,0.45489126066753494,0.40237137412732793,0.39372660735267856
8a,6,882.0,0.090400046688105,0.06993709269536645,-0.023039634283735472,0.3328739516977586,0.4667013171984225,0.443661682914687
8a,7,741.0,0.08993250434962478,0.07031161531153901,-0.007357777291017591,0.2971725491082956,0.3527968076438556,0.345439030352838
8b,2,120.0,0.04448763750760568,0.03640328470726857,-0.010114175898090222,0.22920726247724854,0.0941351721684138,0.08402099627032357
8b,3,266.0,0.05212665135558758,0.0396169772241423,-0.005590416817718313,0.31564077029004356,0.14889267411895266,0.14330225730123433
8b,4,323.0,0.07499095049093062,0.059638198472181964,-0.010684143126856125,0.47834034431688977,0.28137447456641834,0.2706903314395622
8b,5,328.0,0.09386814594943924,0.07384092104536621,-0.0070778514903553115,0.40534934653813237,0.4074793820519273,0.40040153056157196
8b,6,274.0,0.09612598382114979,0.07194576465840018,-0.024022691054995837,0.4416468920713219,0.4672996488800884,0.4432769578250926
8b,7,191.0,0.08817017129275626,0.06888339637165057,-0.02651845061868899,0.28202329707702345,0.3683708595667834,0.3418524089480944
9a,2,5.0,0.022633338642059832,0.019378062583456698,0.004186707118820141,-0.2303981201606451,0.06778991520404816,0.07197662232286829
9a,3,5.0,0.06475707990954759,0.0600480852063903,0.03786604867624813,0.18490564129417986,0.09970915019512176,0.1375751988713699
9a,4,7.0,0.04736189824711565,0.03804359088825652,0.0069987192440282365,0.5653143735122577,0.25544794116701397,0.2624466604110422
9a,5,29.0,0.11582750942444055,0.09224898801377715,-0.05050830451405037,0.11798228078912099,0.5050818128832455,0.4545735083691952
9a,6,12.0,0.08693770105269348,0.058668544801571625,-0.031142551237529976,-0.20288727540578355,0.5490264842907587,0.5178839330532288
