nuts_id,nuts3,mgrs_tile,year,ww_pct,observed_ww_yield,absolute_error_crop_pure,absolute_error_raw_ww05,absolute_error_raw_all,improvement_raw_ww05_minus_crop,improvement_raw_all_minus_crop,mean_crop_pure_improvement
DE21E,Landsberg am Lech (Lkr),32UPU,2024,0.116175472126979,6.970000000000001,1.555226413252818,0.3080758106717667,0.014736413179795349,-1.2471506025810513,-1.5404900000730226,-1.393820301327037
DE235,Cham (Lkr),32UQV,2024,0.0553488299826678,6.55,1.226047992727028,0.16921167379070923,0.2039785030260628,-1.0568363189363188,-1.0220694897009652,-1.039452904318642
DE278,Günzburg (Lkr),32UPU,2024,0.131395051533399,7.18,1.1104127883287624,0.027454317798741634,0.16863889084544947,-1.0829584705300208,-0.941773897483313,-1.012366184006667
DE224,Deggendorf (Lkr),32UQV,2024,0.139630196271075,8.120000000000001,1.1727631299205612,0.1079478132256515,0.2760463426003277,-1.0648153166949097,-0.8967167873202335,-0.9807660520075716
DE217,Dachau (Lkr),32UPU,2024,0.20138514073689,6.67,1.0419611936799322,0.40159544508173006,0.3089447463944035,-0.6403657485982022,-0.7330164472855287,-0.6866910979418654
DE27C,Unterallgäu (Lkr),32UPU,2024,0.0551526669577925,7.0,1.2925461129103653,0.9266085218441154,0.5328007687744059,-0.3659375910662499,-0.7597453441359594,-0.5628414676011047
DE248,Forchheim (Lkr),32UPA,2024,0.0683046454273451,5.84,1.1143511636905359,0.6548854572348208,0.5132833304439419,-0.45946570645571505,-0.601067833246594,-0.5302667698511545
DE22B,Straubing-Bogen (Lkr),32UQV,2024,0.203533532273313,7.44,0.7873802964633256,0.14216542706006496,0.5013930266459594,-0.6452148694032607,-0.2859872698173662,-0.46560106961031344
DE22C,Dingolfing-Landau (Lkr),32UQV,2024,0.217647116535488,7.81,1.110406672292192,0.7857112996898863,0.5331055539873875,-0.32469537260230563,-0.5773011183048045,-0.45099824545355505
DE264,Aschaffenburg (Lkr),32UNA,2024,0.0444742650947631,7.3,0.5023786408487378,0.1465164392901066,0.040804987236573,-0.35586220155863124,-0.46157365361216485,-0.40871792758539804
DE27B,Ostallgäu (Lkr),32UPU,2024,0.0255765445541137,7.77,0.5817800467624181,0.34588418437481927,0.09498728252976552,-0.23589586238759885,-0.4867927642326526,-0.36134431331012573
