source_csv_row,mgrs_tile,mgrs_tile_normalized,Delta_Date,product_path,centroid_x_utm,centroid_y_utm,centroid_inside_mgrs_geometry,point_class
632,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,700419.1073006875,5290844.430780686,FALSE,Outside mgrs_de 32UPU
633,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,698494.7639826527,5293646.1889408985,FALSE,Outside mgrs_de 32UPU
634,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,699664.7085435571,5292629.049924938,FALSE,Outside mgrs_de 32UPU
635,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,700850.2174119953,5291595.753941745,FALSE,Outside mgrs_de 32UPU
636,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,697763.1293941755,5295564.216626867,FALSE,Outside mgrs_de 32UPU
637,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,698928.1863432566,5294517.730667476,FALSE,Outside mgrs_de 32UPU
638,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,700110.5697988248,5293437.970588291,FALSE,Outside mgrs_de 32UPU
639,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,701274.970526486,5292370.040926597,FALSE,Outside mgrs_de 32UPU
640,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,702410.40397932,5291273.92286855,FALSE,Outside mgrs_de 32UPU
641,32UPU,32UPU,2019-03-12,data/geodes_wasp_zips/32UPU/2019/SENTINEL2X_20190315-000000-000_L3A_T32UPU_C_V4-0,697026.7621710288,5297482.067907928,FALSE,Outside mgrs_de 32UPU
